-47,-68
-47,68
47,-68
47,68
26,48
-32,52
-47,45
-40,50
-35,18
20,-51
45,25
-7,31
41,-55
9,-41
-24,33
24,1
-2,34
-19,-40
15,40
-20,49
12,-38
-11,63
-9,60
-39,67
-38,-9
-36,-1
32,11
28,52
12,-12
41,37
27,-35
-28,41
-12,-35
-42,-24
-36,21
45,40
32,7
38,-53
0,24
28,-44
8,61
34,53
-4,59
44,26
35,-52
11,-54
13,-47
-14,-62
34,57
-16,9
1,1
41,63
10,-46
-30,-22
1,-56
21,-1
-11,-7
-36,36
-44,15
34,-14
14,-1
-24,10
-40,-22
-25,59
-21,-35
0,38
34,33
-28,-2
3,-43
17,-57
-29,29
15,-37
-6,10
-5,32
-34,-67
45,65
-38,-11
-34,60
-40,6
-33,42
22,53
18,-34
29,-17
21,2
42,-4
-23,-44
39,-9
42,-5
24,41
39,51
23,7
2,25
10,61
-40,-11
20,-35
-4,-15
37,-3
-15,-15
-40,-68
23,17
39,44
16,41
-9,-10
26,60
