-47,-68
-47,68
47,-68
47,68
-4,56
-27,-25
17,34
-1,13
27,43
-47,-59
-47,-23
-13,54
32,27
-20,-45
-45,17
-12,-51
-11,19
-10,-5
41,-17
-44,-28
-24,34
3,33
39,53
47,-8
-1,-6
-16,40
-45,-20
33,-36
17,-63
-32,58
47,37
29,4
40,-2
21,60
-1,37
-7,-58
14,-8
44,60
-43,14
-18,41
24,63
17,-11
-3,-9
30,23
-5,-55
12,55
-36,61
-29,-22
0,67
-45,-46
-38,49
-45,-62
26,4
13,35
-46,-9
-45,-1
-36,39
2,-32
19,6
-35,51
36,22
-16,39
15,-13
-5,58
1,-51
-21,35
-20,6
-31,33
19,38
22,2
-25,29
44,30
17,22
45,35
39,16
11,-3
-11,-2
-35,-27
4,-2
-14,54
26,-24
18,-48
15,-60
-44,-51
37,-5
8,-6
-7,-5
-46,14
46,-3
-35,-40
34,49
-33,61
22,-66
-11,13
9,19
16,35
36,-44
44,10
29,-56
-16,-63
44,-6
-3,8
26,-58
-3,35
