-47,-68
-47,68
47,-68
47,68
6,26
25,19
-36,11
-4,12
-20,56
-37,-28
35,-43
-8,-15
33,42
44,-50
18,66
25,-41
33,-44
11,36
2,62
34,32
-26,50
18,-68
-30,15
21,22
-31,12
-25,-10
14,-10
-22,-43
-7,-32
-23,-9
-14,-62
31,6
44,59
47,-56
26,-21
0,-12
4,-59
-39,23
5,16
-9,-11
33,47
-3,-26
37,-10
-10,-35
-10,-35
-21,22
-39,36
25,32
-19,45
-18,16
36,12
15,-54
-27,-53
-22,47
-6,-11
43,41
-14,-4
-34,41
-26,-51
-8,-57
45,-51
-37,-55
-2,46
20,-30
45,-67
6,-10
-18,-3
-2,56
-9,-54
36,34
-22,-27
31,33
-6,18
19,0
-16,50
-18,-37
-11,7
-10,-35
2,-66
30,-38
-10,-20
14,-4
45,28
1,-3
-46,42
-24,-49
39,-24
-41,-66
26,49
-45,-53
26,-27
-27,40
38,-59
1,7
11,-30
-28,37
9,67
43,40
21,-63
37,-6
-32,17
-37,-12
21,-14
4,-42
