-47,-68
-47,68
47,-68
47,68
-11,-54
-10,-54
-5,-8
-5,-51
-40,1
-35,-68
40,25
42,-55
20,58
-3,-55
-43,15
9,-45
9,12
45,-14
-4,19
-12,-61
23,27
1,-28
21,16
-26,16
33,52
-8,10
44,-52
-30,3
32,61
27,-23
-8,13
46,56
24,-42
43,53
26,40
28,-16
-14,51
-22,6
-28,53
-46,28
-29,-27
5,54
-41,-48
21,-60
-12,-57
2,46
-6,-38
-44,53
33,56
-5,-2
-9,48
40,12
25,-39
37,-59
33,17
-29,-42
33,-43
32,-30
-12,-8
46,-58
-30,13
31,2
-3,1
0,-35
-14,-34
21,-56
-38,47
-24,53
-32,-10
-46,-24
-39,-61
25,-22
8,10
-21,62
7,-35
23,5
16,-5
10,37
22,-39
8,43
-1,-32
10,-43
2,-41
-44,-61
39,43
-15,58
-5,20
-41,40
-26,-28
-47,49
-46,6
-21,12
45,0
-38,1
-10,-12
0,12
-37,41
9,-14
14,57
11,8
14,33
-36,-32
-37,-20
27,-17
